fileNumber,accessionNumber,countFilings,countAmendments,countProgressUpdates,latestProgressUpdate,quarter,companyAge,initialTargetOffering,finalTargetOffering,initialCampaignDeadline,finalCampaignDeadline,unknownProgressUpdate,raisedAmount,securityOfferedType,noOfSecurityOffered,price,oversubscriptionAccepted,oversubscriptionAllocationType,maximumOfferingAmount,currentEmployees,totalAssetMostRecentFiscalYear,totalAssetPriorFiscalYear,cashEqMostRecentFiscalYear,cashEqPriorFiscalYear,accountsReceivedRecentFiscalYear,accountsReceivedPriorFiscalYear,shortTermDebtMRecentFiscalYear,shortTermDebtPriorFiscalYear,longTermDebtRecentFiscalYear,longTermDebtPriorFiscalYear,revenueMostRecentFiscalYear,revenuePriorFiscalYear,costGoodsSoldRecentFiscalYear,costGoodsSoldPriorFiscalYear,taxPaidMostRecentFiscalYear,taxPaidPriorFiscalYear,netIncomeMostRecentFiscalYear,netIncomePriorFiscalYear,issuerName,legalStatusForm,dateIncorporation,city,stateOrCountry,zipCode,issuerWebsite,filingDate,IntermediaryName,state (US),Country,Platform
020-28133,0001851773-21-000011,6,2,1,"The Offering closed successfully on 7/22/2021, having received investment commitments of $2,799,757.45, although a final accounting has not taken place.",2Q,149,25000.13,25000.13,2021-07-21,2021-07-21,0,2799757.45,Preferred Stock,6368,3.9259,Y,Other,2999996.11,7,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bucket List Studios Inc.,Corporation,2020-12-23,PAIA,HI,96779,https://thebucketlistfamily.com/,2021-05-21,Republic,HAWAII,United States,Republic
020-28557,0001174199-21-000004,4,0,1,"The Offering closed successfully on 01/18/2022, having received investment commitments of $2,694,241 although a final accounting has not taken place.",3Q,7150,25000,25000,2022-04-30,2022-04-30,0,2694241.00,Other,25000,1,Y,Other,5000000,18,27843270,25550691,1099408,402671,777636,33103,4358049,2362160,1160000,1000000,3089624,2163088,417340,93669,-5085,-7590,-1135428,-1746975,KONING CORP,Corporation,2002-01-14,NORCROSS,GA,30093,https://www.koninghealth.com,2021-08-12,Republic,GEORGIA,United States,Republic
020-27902,0001826308-21-000001,3,1,1,"Offering ended on 05-11-2021. This is the update for how much ended up in the closed offering. We raised $2,609,784.32 in capital. The accounts have been reconciled and the offering is closed.",2Q,368,500000.16,500000.16,2021-05-11,2021-05-11,0,2609784.32,Preferred Stock,568182,0.88,Y,"First-come, first-served basis",1070000,3,1274435.96,0,1149626.22,0,0,0,28344.89,0,0,0,0,0,0,0,0,0,0,0,"Tuttle Twins Show, LLC",Limited Liability Company,2020-04-03,PROVO,UT,84601,https://www.tuttletwins.tv,2021-04-06,"VAS Portal, LLC",UTAH,United States,"VAS Portal, LLC"
020-28444,0001837613-21-000001,5,1,1,"The Offering closed successfully on 9/25/2021, having received investment commitments of $2,590,761.25, although a final accounting has not taken place.",3Q,793,105000,105000,2021-09-24,2021-09-24,0,2590761.25,Preferred Stock,12000,8.75,Y,Other,5000000,0,16363781,10640405,2775036,2132963,7314445,3275437,40365,4474358,500000,0,26669226,20577329,16201038,15931760,1535296,256933,2475998,1017583,"AI4Sec, Inc",Corporation,2019-05-22,LAKEWAY,TX,78734,www.cybolt.com,2021-07-23,Republic,TEXAS,United States,Republic
020-26652,0001669191-20-000373,24,21,2,"End of offering. Issuer closed its offering with estimated gross proceeds of $2,573,950. The foregoing is in regard only to the amount raised under the Section 4(a)(6) exemption.",3Q,745,10001.76,10000.25,2020-10-01,2023-01-26,0,2573950.00,Common Stock,3216,3.11,Y,"First-come, first-served basis",444608.71,2,45194,70501,29694,70501,15500,0,0,0,0,0,0,0,0,0,0,0,-183454,-61790,GenesisAI Corporation,Corporation,2018-07-03,CAMBRIDGE,MA,2138,https://www.genesisai.io/,2020-07-17,NetCapital Funding Portal Inc.,MASSACHUSETTS,United States,NetCapital Funding Portal Inc.
020-27460,0001665160-21-000056,11,4,2,"The amount of securities sold at the close of the offering of $2,542,107.31 in Convertible Promissory Notes.",1Q,1244,10000,10000,2021-04-30,2021-09-15,0,2542107.31,Other,10000,,Y,Other,1070000,2,128647,115547,65860,78798,0,0,89997,13914,830595,263086,0,0,0,0,0,0,-822940,-386369,AtomBeam Technologies Inc.,Corporation,2017-08-17,Moraga,CA,94556,https://atombeamtech.com/,2021-01-12,StartEngine,CALIFORNIA,United States,StartEngine
020-25914,0001665160-19-001165,20,13,2,"Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $2,515,254.98 and 2,634,094 number of securities.",4Q,205,10000,10000,2020-03-12,2022-03-25,0,2515254.98,Common Stock,10000,1,Y,Other,107000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phormed Inc,Corporation,2019-05-15,Beverly Hills,CA,90212,www.phormed.com,2019-12-06,StartEngine,CALIFORNIA,United States,StartEngine
020-27360,0001665160-20-001562,8,1,2,"Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $2,501,915.27 and 570,509 number of securities.",4Q,5316,9996.35,9996.35,2021-04-30,2021-04-30,0,2501915.27,Common Stock,2197,4.55,Y,Other,1069978,4,202678,266675,7063,46957,0,0,28813,2725,0,0,211392,419838,123479,253603,0,0,-90085,18044,Solar Roadways Incorporated,Corporation,2006-05-30,Sandpoint,ID,83864,https://solarroadways.com/,2020-12-18,StartEngine,IDAHO,United States,StartEngine
020-29168,0001193125-21-327931,4,0,1,"The Offering closed on December 6, 2021, having received investment commitments of $2,499,994, although a final accounting has not taken place.",4Q,124,25002.09,25002.09,2022-03-31,2022-03-31,0,2499994.00,Common Stock,3347,,Y,Other,2499994.61,1998,10756138,2101149,3731216,614755,377707,645,566154,913000,5281100,0,20604775,5932392,17401313,4996609,0,0,820575,423222,Hawaiian Bros Inc.,Corporation,2021-07-11,Kansas City,MO,64105,https://hawaiianbros.com,2021-11-12,Republic,MISSOURI,United States,Republic
020-30247,0001665160-22-001708,4,2,1,"At the close of the offering, the issuer closed on $2,433,212.20 and 623,948 number of securities.",2Q,245,10000,10000,2022-08-29,2022-11-04,0,2433212.20,Common Stock,2500,4,Y,Other,3930000,12,278104,0,0,0,0,0,290431,0,0,0,290431,0,8700,0,0,0,-12327,0,TA Fintech Inc.,Corporation,2021-09-24,New York,NY,10016,https://tradealgo.com/,2022-05-27,StartEngine,NEW YORK,United States,StartEngine
020-29028,0001794222-21-000002,3,1,1,"The Offering closed successfully on 4/27/2022, having received investment commitments of $2,411,107.95, although a final accounting has not taken place.",4Q,1523,25000,25000,2022-03-10,2022-04-26,0,2411107.95,Other,25000,1,Y,Other,3930000,0,651895,143994,478073,45028,0,0,169918,200273,256500,86000,0,0,0,0,800,800,-528201,-142279,"New World Savings, Inc.",Corporation,2017-08-21,DANA POINT,CA,92629,https://Joinguac.com,2021-10-22,Republic,CALIFORNIA,United States,Republic
020-28555,0001665160-21-001440,10,6,1,"At the close of the offering, the issuer closed on $2,377,694.12 and 1424408 number of securities.",3Q,624,9999.5,9999.5,2022-02-07,2022-04-08,0,2377694.12,Common Stock,5714,1.75,Y,Other,1069999,7,470827,13199,37310,13199,40548,0,323180,739071,1389716,1000000,0,0,0,0,399,221,-1942347,-1174321,GACW Incorporated,Corporation,2019-11-26,Chandler,AZ,85226,https://globalaircylinderwheels.com/,2021-08-11,StartEngine,ARIZONA,United States,StartEngine
020-31921,0001665160-23-000338,5,2,1,"At the close of the offering, the issuer closed on $2,374,644.21 and 2,006,855 number of securities.",1Q,2519,15000,15000,2023-05-03,2023-08-21,0,2374644.21,Common Stock,12000,1.25,Y,Other,1235000,9,490698,239001,303812,167666,3000,635,73331,73331,207012,131900,2409670,1498484,954751,622247,1939,1181,178263,165246,"Howloo, Inc.",Corporation,2016-04-08,Labelle,FL,33935,https://www.blackoutcoffee.com/,2023-03-02,StartEngine,FLORIDA,United States,StartEngine
020-28335,0001665160-21-001208,6,4,1,"At the close of the offering, the issuer closed on $2,298,727.73 and 1,938,928 securities.",3Q,1205,10000,10000,2021-12-28,2022-04-27,0,2298727.73,Other,8000,1.25,Y,Other,3929998.75,8,591898,16454,537484,14079,0,2275,51160,21399,0,0,66837,32243,0,0,500,456,-385908,-23,Beanstox Inc.,Corporation,2018-03-14,Boston,MA,2109,www.beanstox.com,2021-07-01,StartEngine,MASSACHUSETTS,United States,StartEngine
020-27970,0001665160-21-000499,13,9,1,"At the close of the offering, the issuer closed on $2,264,100.80 and 468,223 number of securities.",2Q,1582,10000,10000,2021-10-18,2023-04-10,0,2264100.80,Other,2000,5,Y,Other,1070000,10,2485882,1415124,1233581,699115,39646,101997,841927,718545,562701,485142,3925165,1869934,1973993,1020785,0,0,2783,-251950,GoSun Inc.,Corporation,2016-12-21,Cincinnati,OH,45223,https://www.gosun.co,2021-04-21,StartEngine,OHIO,United States,StartEngine
020-29699,0001730695-22-000006,4,2,1,"The Offering closed successfully on 9/4/2022, having received investment commitments of $2,235,781.24, although a final accounting has not taken place.",1Q,1505,25000,25000,2022-04-25,2022-09-03,0,2235781.24,Other,25000,1,Y,Other,5000000,9,1440151,492823,893707,42904,0,0,250826,266468,2112103,25000,9385513,1740653,7144963,616654,0,0,-1273122,164879,"Unbanked, Inc.",Corporation,2018-01-01,ALPHARETTA,GA,30004,https://www.unbanked.com/,2022-02-14,Republic,GEORGIA,United States,Republic
020-29788,0001587317-22-000003,3,1,1,"The Offering closed successfully on 7/29/2022, having received investment commitments of $2,226,159.26, although a final accounting has not taken place.",1Q,3774,25000,25000,2022-04-25,2022-08-30,0,2226159.26,Other,25000,1,Y,Other,2000000,9,351446,595354,2863,135267,0,0,1082231,3850310,0,915000,0,15879,0,16341,1905,1003,-2347681,-2037248,HEVO Inc.,Corporation,2011-11-01,BROOKLYN,NY,11201,https://hevo.com,2022-03-02,Republic,NEW YORK,United States,Republic
020-26853,0001665160-20-001127,7,4,2,"Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $2,197,055.28 and 1,007,875 number of securities.",3Q,1711,9999,9999,2020-11-26,2021-04-30,0,2197055.28,Other,4444,2.25,Y,Other,534998.25,30,2735208,2267347,172706,163181,307991,125217,5399441,1788546,570589,2337878,3550667,1493279,1868828,647020,0,0,-1438683,-1085986,Hawaiian Ola Brewing Corporation,Corporation,2015-12-22,Kailua Kona,HI,96740,https://www.olabrewco.com/,2020-08-28,StartEngine,HAWAII,United States,StartEngine
020-30295,0001871551-22-000002,2,0,1,"The Offering closed successfully on 8/16/2022, having received investment commitments of $2,194,748.17, although a final accounting has not taken place",2Q,890,25000,25000,2022-08-15,2022-08-15,0,2194748.17,Other,25000,1,Y,Other,4000000,0,10899000,2648000,6554000,1324000,644000,184000,3783000,769000,770000,881000,31589000,7053000,10058000,1872000,680000,251000,1974000,880000,"Drink LMNT, Inc.",Corporation,2019-12-30,NAPLES,FL,34102,https://DrinkLMNT.com,2022-06-07,Republic,FLORIDA,United States,Republic
020-27339,0001670254-20-001158,6,2,1,"At the close of the offering, the issuer closed on $2,193,203.05",4Q,70,50000.32,50002.92,2021-04-15,2022-04-30,0,2193203.05,Common Stock,33784,2.97,Y,Other,1069999.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pencilish Animation Studios Inc.,Corporation,2020-10-08,Franklin,TN,37069,http://www.pencilish.com,2020-12-17,Wefunder Portal LLC,TENNESSEE,United States,Wefunder Portal LLC
020-30470,0001665160-22-001990,5,3,1,"At the close of the offering, the issuer closed on $2,098,031.93 and 1,126,008 number of securities.",3Q,274,9920,9920,2022-10-05,2023-03-03,0,2098031.93,Other,4000,2.48,Y,Other,1999998.48,8,257362,0,202393,0,0,0,34924,0,0,0,0,0,0,0,0,0,-78223,-19567,"Doroni Aerospace, Inc.",Corporation,2021-10-06,Coral Springs,FL,33076,https://www.doroni.io/,2022-07-07,StartEngine,FLORIDA,United States,StartEngine
020-32144,0001794805-23-000007,2,0,1,"The Offering closed successfully on 5/1/2023, having received investment commitments of $2,017,082.16, although a final accounting has not taken place.",2Q,1494,360000,360000,2023-04-30,2023-04-30,0,2017082.16,Other,1000000,0.36,Y,Other,2020811.04,0,13365923,7158794,3753009,3486798,309104,13236,6660782,316937,0,0,1629853,109520,0,0,0,0,-4381248,-11670080,Republic Core LLC,Limited Liability Company,2019-03-08,NEW YORK,NY,10010,www.republic.co/note,2023-04-10,Republic,NEW YORK,United States,Republic
020-29140,0001665160-21-001989,6,2,1,"At the close of the offering, Issuer closed on $1,998,407.43 and 878,075 number of securities",4Q,1050,10000,10000,2022-05-11,2022-04-29,0,1998407.43,Common Stock,4000,2.5,Y,Other,1070000,56,1744855,1647229,157664,537262,440232,680634,1845412,1746500,0,100000,6460768,2901812,3108165,1171800,0,0,-979951,-1406959,"WeatherFlow-Tempest, Inc.",Corporation,2018-12-26,Scotts Valley,CA,95066,weatherflow.com,2021-11-10,StartEngine,CALIFORNIA,United States,StartEngine
020-28707,0001665160-21-001590,6,3,2,"Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $1,989,834.99 and 3,858,135 number of securities.",3Q,3886,9999.51,9999.51,2022-03-02,2021-12-31,0,1989834.99,Other,18867,0.53,Y,Other,4999999.86,6,2653129,2398033,7525,40581,22246,29477,169268,295088,1703806,1680171,1026360,895182,691142,434965,0,0,-361425,3474,Big Derby Distilling Company,Corporation,2011-01-13,Seattle,WA,98101,https://copperworksdistilling.com/,2021-09-03,StartEngine,WASHINGTON,United States,StartEngine
020-26416,0001665160-20-000633,20,12,2,"At offering close, $1,981,996.25 total investment commitments, funds reconciliations pending. As of the date of this filing, after funds reconciliations, the issuer has issued 1,672,899 Class B Non-Voting Common shares for $1,960,512.50 cash consideration.",2Q,2072,10000,10000,2020-08-18,2022-01-25,0,1981996.25,Other,8000,1.25,Y,Other,1070000,1,174856,167543,6507,851,0,0,185967,129818,707656,307870,0,0,0,0,0,0,-464417,-492333,"IX Power Clean Water, Inc.",Corporation,2014-09-17,Golden,CO,80401,www.ixwater.com,2020-05-20,StartEngine,COLORADO,United States,StartEngine
020-26979,0001665160-20-001207,8,5,2,"Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $1,963,063.51 and 6,103,595 number of securities.",3Q,2539,9999.99,9999.99,2020-12-28,2021-07-29,0,1963063.51,Common Stock,30303,0.33,Y,Other,186160.92,1,1509223,1488343,11721,0,0,0,681537,248123,622852,576710,0,0,0,0,800,800,-1176386,-2577297,"Rayton Solar, Inc.",Corporation,2013-10-17,Van Nuys,CA,91406,raytonsolar.com,2020-09-29,StartEngine,CALIFORNIA,United States,StartEngine
020-27138,0001826436-20-000002,7,3,1,"The Offering closed successfully on 7/16/2021, having received investment commitments of 1,880,938.05, although a final accounting has not taken place.",4Q,869,25000,25000,2021-02-05,2021-07-15,0,1880938.05,Other,25000,1,Y,Other,1070000,4,437027,566058,44174,262089,0,0,258971,219202,350000,350000,0,113,0,1790,0,0,-169922,-126378,"Manta Biofuel, Inc.",Corporation,2018-06-18,OWINGS MILLS,MD,21117,https://mantabiofuel.com/,2020-11-03,Republic,MARYLAND,United States,Republic
020-27940,0001665160-21-000466,4,1,2,"Issuer closed on 1,225,630 shares and raised $1,873,853.41.",2Q,1976,9999.73,9999.73,2021-10-11,2021-10-11,0,1873853.41,Common Stock,5917,1.69,Y,Other,1070000,21,3951860,5566553,2273275,4309340,5710,15541,2030144,918583,2664753,535645,64119,83346,65627,93715,0,0,-4862798,-4088468,6D BYTES INC.,Corporation,2015-11-16,Sunnyvale,CA,94085,https://www.blendid.com/,2021-04-14,StartEngine,CALIFORNIA,United States,StartEngine
020-26519,0001801613-20-000001,6,2,1,"The Offering closed successfully on 7/27/2021, having received investment commitments of $1,861,109.23, although a final accounting has not taken place.",2Q,610,25000,25000,2020-12-01,2021-07-31,0,1861109.23,Other,25000,1,Y,Other,1070000,4,103930,56553,76115,55153,16680,0,118843,20619,500000,100000,203097,9250,65053,0,450,450,-450477,-65066,"Nada Holdings, Inc.",Corporation,2018-10-15,DALLAS,TX,75225,https://nadahomes.com,2020-06-16,Republic,TEXAS,United States,Republic
020-27950,0001062993-21-003673,2,0,1,"The Offering closed successfully on 06/25/2021, having received investment commitments of $1,850,165.64, although a final accounting has not taken place.",2Q,2159,25000,25000,2021-08-15,2021-08-15,0,1850165.64,Other,25000,1,Y,Other,1070000,30,3800295,15312437,918195,1923897,17138,10872,1183350,9896442,656145,0,168957,922174,0,0,0,0,-5097655,-3020574,ALPHAFLOW INC.,Corporation,2015-05-19,SAN FRANCISCO,CA,94123,http://www.alphaflow.com/,2021-04-16,Republic,CALIFORNIA,United States,Republic
020-27702,0001665160-21-000234,8,3,2,"Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $1,819,521.83 and 1,596,178 number of securities.",1Q,21,9999.6,9999.6,2021-08-25,2021-09-25,0,1819521.83,Common Stock,8333,1.2,Y,Other,1069999.2,5,20326,0,0,0,0,0,35845,0,0,0,0,0,0,0,0,0,-20862,0,Honeybee Burger Inc.,Corporation,2021-02-05,Los Angeles,CA,90025,www.honeybeeburger.com,2021-02-26,StartEngine,CALIFORNIA,United States,StartEngine
020-27872,0001821982-21-000001,6,2,1,"The deal successfully closed on 05/05/2021 having raised $1,800,000 from committed investments by the deadline, according to the final accounting.",1Q,1197,350000,350000,2021-04-30,2021-05-05,0,1800000.00,Other,3500,100,Y,Other,1070000,0,332442,371211,0,23108,0,0,0,0,328370,319900,0,0,0,0,0,0,-14895,-5159,"ALBEMARLE HOTEL DEVELOPMENT, LLC",Limited Liability Company,2017-12-19,FAYETTEVILLE,NC,28301,https://www.anchorandpillar.com/,2021-03-30,Vicinity LLC,NORTH CAROLINA,United States,others
020-26740,0001104659-20-090333,4,2,1,"Total Amount Raised: $1,794,067.80 Total shares sold: 125,635 Total Bonus Shares issued: 24,360",3Q,1614,10000,10000,2020-12-31,2021-12-31,0,1794067.80,Other,700,14.28,Y,Other,782525,8,2178867,1190414,735562,45751,21583,19000,328395,315598,0,0,645565,179589,529153,130131,0,0,-3645356,-2411065,"Legion M Entertainment, Inc.",Corporation,2016-03-04,LOS ANGELES,CA,90067,http://www.legionm.com,2020-08-04,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-29951,0001193125-22-088286,2,0,1,"The Offering closed on 4/25/2022, having received investment commitments of $1,781,180.96, although a final accounting has not taken place.",1Q,261,25009.51,25009.51,2022-04-24,2022-04-24,0,1781180.96,Common Stock,1843,,Y,Other,2590105.9,2024,10756138,2101149,3731216,614755,377707,645,566154,913000,5281100,0,20604775,5932392,17401313,4996609,0,0,820575,423222,Hawaiian Bros Inc.,Corporation,2021-07-11,Kansas City,MO,64105,https://hawaiianbros.com,2022-03-29,Republic,MISSOURI,United States,Republic
020-28104,0001665160-21-000958,6,1,2,"At the close of the offering, the issuer closed on $1,764,919 and 49,979 shares of common stock.",2Q,2470,9973.05,9973.05,2021-11-15,2021-09-30,0,1764919.00,Other,255,39.11,Y,Other,4999978.84,11,3521891,2058765,2182487,577550,0,0,227962,469375,675271,683371,10417210,8217412,1953775,1659732,11470,3197,1712638,-352480,"Cheers Health, Inc.",Corporation,2014-08-13,Houston,TX,77043,cheershealth.com,2021-05-18,StartEngine,TEXAS,United States,StartEngine
020-27400,0001837254-20-000002,12,4,7,"Currently HT Naturals Inc. has sold 1,248,662.74 securities at $1.40 per share, resulting in a total raise that has cleared escrow at this time of $1,748,127.84.",4Q,39,100000,100000,2021-12-15,2023-05-02,0,1748127.84,Common Stock,71429,1.4,Y,Other,1070000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-325,0,HT Naturals Inc.,Corporation,2020-11-19,West Hollywood,CA,90069,http://www.hemptownusa.com,2020-12-28,Title3Funds,CALIFORNIA,United States,others
020-31361,0001104659-22-121375,2,0,1,"The issuer closed the offering on April 15, 2023 and raised $1,738,264.98 during the offering period.",4Q,5964,25000,25000,2023-04-01,2023-04-01,0,1738264.98,Preferred Stock,10870,2.3,Y,Other,1951219.51,1,1756758,1466746,967757,537354,341193,283676,554929,2400661,0,107502,307500,591056,2205358,503906,0,0,-22544189,-995850,Cytonics Corp,Corporation,2006-07-26,JUPITER,FL,33458,https://www.cytonics.com/,2022-11-23,Dealmaker,FLORIDA,United States,others
020-29384,0001665160-21-002213,8,6,1,"At the close of the offering, the issuer closed on $1,723,370.24 and 2,563,190 number of securities.",4Q,2080,9999.6,9999.6,2022-05-30,2022-11-28,0,1723370.24,Other,15384,0.65,Y,Other,4177800.9,3,235073,14995,229200,8577,0,0,42263,53302,134556,155025,0,530,0,0,0,0,-409622,-443948,SapientX Inc.,Corporation,2016-04-06,Santa Cruz,CA,95060,https://www.sapientx.com/,2021-12-16,StartEngine,CALIFORNIA,United States,StartEngine
020-30638,0001861670-22-000004,2,0,1,"Offering ended on 08-31-2022. This is the update for how much ended up in the closed offering. The offering amounts have been reconciled. We raised $1,715,935.50 in Capital and sold 1,143,957 units in the offering",3Q,512,500001,500001,2022-08-31,2022-08-31,0,1715935.50,Preferred Stock,333334,1.5,Y,"First-come, first-served basis",5000000,18,3272460,0,3268842,0,0,0,0,0,0,0,0,0,0,0,36758,0,-1904539,0,"Toothy Cow Productions, LLC",Limited Liability Company,2021-03-09,FRANKLIN,TN,37064,http://www.toothycowproductions.com,2022-08-03,"VAS Portal, LLC",TENNESSEE,United States,"VAS Portal, LLC"
